section	saleinit	datesold	title	cost	listpric	salepric
Internet	MJM	01/18/98	Internet Title   1	$20.97	$29.95	$29.95
Internet	BLT	01/24/98	Internet Title   2	$23.07	$32.95	$32.95
Internet	JMB	01/20/98	Internet Title   3	$23.07	$32.95	$32.95
Internet	BLT	01/07/98	Internet Title   4	$17.47	$24.95	$24.95
Internet	MJM	01/18/98	Internet Title   5	$25.17	$35.95	$35.95
Internet	BLT	01/28/98	Internet Title   6	$23.07	$32.95	$32.95
Internet	JMB	01/29/98	Internet Title   7	$25.17	$35.95	$35.95
Internet	JMB	01/08/98	Internet Title   8	$23.07	$32.95	$29.66
Internet	JMB	01/14/98	Internet Title   9	$25.17	$35.95	$35.95
Internet	BLT	01/24/98	Internet Title  10	$23.07	$32.95	$32.95
Internet	BLT	01/07/98	Internet Title  11	$23.07	$32.95	$32.95
Internet	BLT	01/25/98	Internet Title  12	$26.36	$32.95	$32.95
Internet	MJM	01/06/98	Internet Title  13	$27.97	$39.95	$39.95
Internet	BLT	01/16/98	Internet Title  14	$17.47	$24.95	$24.95
Internet	BLT	01/28/98	Internet Title  15	$20.97	$29.95	$29.95
Internet	BLT	01/22/98	Internet Title  16	$16.07	$22.95	$20.66
Internet	JMB	01/17/98	Internet Title  17	$16.07	$22.95	$18.36
Internet	BLT	01/31/98	Internet Title  18	$17.47	$24.95	$24.95
Internet	BLT	01/12/98	Internet Title  19	$20.97	$29.95	$29.95
Internet	BLT	01/07/98	Internet Title  20	$25.17	$35.95	$35.95
Internet	MJM	01/18/98	Internet Title  21	$29.37	$41.95	$41.95
Internet	JMB	01/05/98	Internet Title  22	$20.27	$28.95	$28.95
Internet	JMB	01/26/98	Internet Title  23	$20.27	$28.95	$28.95
Internet	JMB	01/17/98	Internet Title  24	$26.36	$32.95	$29.66
Internet	MJM	01/09/98	Internet Title  25	$27.97	$39.95	$39.95
Internet	JMB	01/05/98	Internet Title  26	$17.47	$24.95	$24.95
Internet	BLT	01/22/98	Internet Title  27	$23.07	$32.95	$32.95
Internet	BLT	01/22/98	Internet Title  28	$17.47	$24.95	$24.95
Internet	BLT	01/24/98	Internet Title  29	$23.07	$32.95	$32.95
Internet	BLT	01/22/98	Internet Title  30	$20.27	$28.95	$28.95
Internet	BLT	01/31/98	Internet Title  31	$16.07	$22.95	$22.95
Internet	JMB	01/17/98	Internet Title  32	$23.07	$32.95	$29.66
Internet	MJM	01/09/98	Internet Title  33	$25.17	$35.95	$35.95
Internet	MJM	01/09/98	Internet Title  34	$17.47	$24.95	$19.96
Internet	JMB	01/20/98	Internet Title  35	$23.07	$32.95	$32.95
Internet	BLT	01/07/98	Internet Title  36	$23.16	$28.95	$28.95
Internet	JMB	01/20/98	Internet Title  37	$20.27	$28.95	$28.95
Internet	BLT	01/07/98	Internet Title  38	$30.07	$42.95	$42.95
Internet	MJM	01/21/98	Internet Title  39	$20.97	$29.95	$29.95
Internet	MJM	01/09/98	Internet Title  40	$25.17	$35.95	$32.36
Internet	MJM	01/15/98	Internet Title  41	$20.97	$29.95	$29.95
Internet	MJM	01/18/98	Internet Title  42	$27.97	$39.95	$39.95
Internet	JMB	01/17/98	Internet Title  43	$27.97	$39.95	$39.95
Internet	BLT	01/22/98	Internet Title  44	$16.07	$22.95	$22.95
Internet	JMB	01/23/98	Internet Title  45	$23.07	$32.95	$32.95
Internet	JMB	01/29/98	Internet Title  46	$20.97	$29.95	$29.95
Internet	MJM	01/27/98	Internet Title  47	$27.97	$39.95	$39.95
Internet	MJM	01/18/98	Internet Title  48	$23.16	$28.95	$26.06
Internet	BLT	01/28/98	Internet Title  49	$23.07	$32.95	$32.95
Internet	MJM	01/03/98	Internet Title  50	$17.47	$24.95	$24.95
Internet	JMB	01/05/98	Internet Title  51	$20.97	$29.95	$23.96
Internet	JMB	01/14/98	Internet Title  52	$25.17	$35.95	$35.95
Internet	BLT	01/04/98	Internet Title  53	$25.17	$35.95	$35.95
Internet	JMB	01/23/98	Internet Title  54	$20.97	$29.95	$29.95
Internet	JMB	01/11/98	Internet Title  55	$20.27	$28.95	$28.95
Internet	MJM	01/09/98	Internet Title  56	$23.07	$32.95	$29.66
Internet	BLT	01/19/98	Internet Title  57	$20.97	$29.95	$29.95
Internet	MJM	01/18/98	Internet Title  58	$20.97	$29.95	$29.95
Internet	BLT	01/24/98	Internet Title  59	$20.97	$29.95	$29.95
Internet	JMB	01/14/98	Internet Title  60	$23.16	$28.95	$28.95
Internet	MJM	01/09/98	Internet Title  61	$20.27	$28.95	$28.95
